true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
17/37,"Globally , everytime when ( prop_3 ) or the transition action that ( prop_1 ) happens then ( prop_2 ) .",G ( ( prop_3 | prop_1 ) -> prop_2 ),G( (prop_3 | prop_1) -> prop_2 ),True
18/38,when possible ( prop_1 ) and ( prop_2 ),F ( prop_1 & prop_2 ),F(prop_1 & prop_2),True
19/39,"In the case ( prop_1 ) , and ( prop_2 ) then ( prop_3 ) .",G ( ( prop_1 & prop_2 ) -> prop_3 ),G( (prop_1 & prop_2) -> prop_3 ),True
20/40,when possible ( prop_1 ) or at some time ( prop_2 ),F ( prop_1 | F prop_2 ),F (prop_1 | prop_2),True
21/41,"It is always the case that when ( prop_2 ) or ( prop_1 ) , then all of the following conditions are true : ( prop_3 ) .",G ( ( prop_2 | prop_1 ) -> prop_3 ),G((prop_2 | prop_1) -> prop_3),True
21/42,"If the scenario that ( prop_2 ) is observed , then in no time ( prop_3 ) , or ( prop_1 ) .",G ( prop_2 -> ( prop_3 | prop_1 ) ),G(prop_2 -> !(prop_3 | prop_1)),False
21/43,"For each time instant in the next 0 to 120 units, do ( prop_2 ) if ( prop_1 ) , and if possible, ( prop_3 ) .","( G [0,120] ( prop_2 -> prop_1 ) & F prop_3 )","G[0,120]( prop_1 -> ( prop_2 & (F prop_3)) )",False
22/44,It is always the case that everytime when the event that ( prop_1 ) is detected then the following condition holds : the transition action that ( prop_3 ) ought to occur at the same time instant and at the same time instant the scenario that ( prop_2 ) happens .,G ( prop_1 -> ( prop_3 & prop_2 ) ),G( prop_1 -> (prop_3 & prop_2) ),True
23/45,If ( prop_1 ) is equivalent to ( prop_3 ) then ( prop_2 ) .,( ( prop_1 <-> prop_3 ) -> prop_2 ),(prop_1 <-> prop_3) -> prop_2,True
23/46,"For all time during 738 to 2148, (prop_2) should be true, and in addition, (prop_3) and (prop_1) should also be true .","( G [738,2148] prop_2 & ( prop_3 & prop_1 ) )","G[738,2148](prop_2 & prop_3 & prop_1)",False
24/47,"Globally , whenever the event that ( prop_1 ) gets observed then all of the following conditions are true : ( prop_2 ) .",G ( prop_1 -> prop_2 ),G( prop_1 -> prop_2 ),True
24/48,"Ensure that (prop_2) happens at some point between 138 and 294 time units, and that (prop_1) is true if and only if (prop_3) is false.","( F [138,294] prop_2 & ( ! prop_3 <-> prop_1 ) )","F[138,294](prop_2) & G(prop_1 <-> !prop_3)",False
24/49,If ( prop_1 ) then all of the following conditions are true : ( prop_2 ) .,G ( prop_1 -> prop_2 ),(prop_1 -> prop_2),False
24/50,whenever ( prop_1 ) and when possible ( prop_2 ),F ( prop_1 & F prop_2 ),G(prop_1 -> F(prop_2)),False
24/51,"In the case the event that ( prop_1 ) occurs then all of the following conditions hold : simultaneously the scenario that ( prop_2 ) shall never occur , and simultaneously ( prop_3 ) .",G ( prop_1 -> ( prop_2 & prop_3 ) ),G(prop_1 -> (prop_3 & G(!prop_2))),False
25/52,( prop_1 ) and at some time ( prop_2 ),( prop_1 & F prop_2 ),prop_1 & F prop_2,True
26/53,"Globally , in case that ( prop_1 ) , and ( prop_4 ) then in response without any delay ( prop_2 ) , and at the same time point ( prop_3 ) .",G ( ( prop_1 & prop_4 ) -> ( prop_2 & prop_3 ) ),G( (prop_1 & prop_4) -> (prop_2 & prop_3) ),True
26/54,"If (prop_4) leads to (prop_3), then keep this relationship true until (prop_2) leads to (prop_1) at some time after 122 time steps .","( ( prop_4 -> prop_3 ) U [122,infinite] ( prop_2 -> prop_1 ) )","((prop_4 -> prop_3) U[0,122] (F[122,∞) (prop_2 -> prop_1)))",False
27/55,It is required that the scenario in which ( prop_3 ) does not happen is equivalent to the scenario in which ( prop_2 ) happens and continues until at some point during the 8965 to 18708 time units the scenario in which ( prop_1 ) happens .,"( ! prop_3 <-> ( prop_2 U [8965,18708] prop_1 ) )","(!prop_3) <-> (prop_2 U[8965,18708] prop_1)",True
28/56,"Globally , if ( prop_1 ) then in response ( prop_3 ) or ( prop_2 ) .",G ( prop_1 -> ( prop_3 | prop_2 ) ),G( prop_1 -> ( prop_3 | prop_2 ) ),True
28/57,"If (prop_3) holds until (prop_1), then make sure (prop_2) and (prop_4) both happen .",( ( prop_3 U prop_1 ) -> ( prop_2 & prop_4 ) ),((prop_3 U prop_1) -> (F prop_2 & F prop_4)),False
29/58,"It is always the case that while ( prop_1 ) , or ( prop_2 ) , then all of the following conditions are true : at the same time instant ( prop_3 ) and the scenario that ( prop_4 ) will get detected instantly .",G ( ( prop_1 | prop_2 ) -> ( prop_3 & prop_4 ) ),G((prop_1 | prop_2) -> (prop_3 & prop_4)),True
30/59,( prop_1 ) and at any time ( prop_2 ),( prop_1 & F prop_2 ),prop_1 & F prop_2,True
31/60,"Globally , in case that ( prop_1 ) , then ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
32/61,"It is always the case that everytime when ( prop_1 ) , or ( prop_3 ) , then the following condition is true : the transition action that ( prop_2 ) needs to occur instantly .",G ( ( prop_1 | prop_3 ) -> prop_2 ),G((prop_1 | prop_3) -> prop_2),True
33/62,"In the case ( prop_1 ) , or ( prop_3 ) , then all of the following conditions hold : immediately ( prop_2 ) .",G ( ( prop_1 | prop_3 ) -> prop_2 ),G( (prop_1 | prop_3) -> prop_2 ),True
34/63,"If (prop_1), then (prop_2), or else keep trying (prop_4) until (prop_3) .",( ( prop_1 -> prop_2 ) | ( prop_4 U prop_3 ) ),(prop_1 -> (prop_2 | (prop_4 U prop_3))),True
35/64,"On condition that ( prop_3 ) , then all of the following conditions are true : ( prop_2 ) and the transition action that ( prop_1 ) is observed .",G ( prop_3 -> ( prop_2 & prop_1 ) ),G ( prop_3 -> ( prop_2 & prop_1 ) ),True
35/65,If ( prop_3 ) and ( prop_1 ) then the following condition holds : ( prop_2 ) and then this condition should keep uninterruptedly for every moment within the first 52 to 65 time units .,"G ( ( prop_3 & prop_1 ) -> G [52,65] prop_2 )","G((prop_3 & prop_1) -> F[52,65](prop_2))",False
36/66,repeatedly ( prop_1 ) and never ( prop_2 ),G ( F prop_1 & G ( ! prop_2 ) ),G(F(prop_1)) & G(!prop_2),True
37/67,"Globally , if ( prop_2 ) or ( prop_3 ) , then ( prop_1 ) .",G ( ( prop_2 | prop_3 ) -> prop_1 ),G((prop_2 | prop_3) -> prop_1),True
37/68,at any time ( prop_1 ) and when possible ( prop_2 ),F ( prop_1 & F prop_2 ),G (prop_1 & prop_2),False
38/69,"It is always the case that if ( prop_1 ) , then the following condition holds : ( prop_3 ) and then should continue like this consecutively until ( prop_2 ) .",G ( prop_1 -> ( prop_3 U prop_2 ) ),G ( prop_1 -> ( prop_3 U prop_2 ) ),True
38/70,( prop_1 ) or repeatedly ( prop_2 ),( prop_1 | G ( F prop_2 ) ),prop_1 | F G prop_2,False
38/71,"If (prop_4) and (prop_3) happen at the same time, or if (prop_2), then you should do (prop_1) .",( ( prop_4 & prop_3 ) | ( prop_2 -> prop_1 ) ),((prop_4 & prop_3) | prop_2) -> prop_1,False
38/72,"If (prop_3) is going to happen, make sure that (prop_2) and (prop_1) are equivalent .",( F prop_3 -> ( prop_2 <-> prop_1 ) ),G( prop_3 -> (prop_2 <-> prop_1) ),False
38/73,"If ( prop_2 ) , and ( prop_1 ) then all of the following conditions hold : there will have to exist a certain time point in the future before the end of the simulation finally , after which ( prop_3 ) .",G ( ( prop_2 & prop_1 ) -> F ( G prop_3 ) ),G((prop_2 & prop_1) -> F(prop_3)),False
39/74,It is always the case that if ( prop_1 ) and the event that ( prop_2 ) takes place then all of the following conditions are true : for every time instant in the first 17 to 29 time units at sometime in the future before the end of the execution ( prop_3 ) .,"G ( ( prop_1 & prop_2 ) -> G [17,29] ( F prop_3 ) )","G((prop_1 & prop_2) -> G[17,29](F(prop_3)))",True
39/75,"For each time instant ( prop_2 ) should imply ( prop_3 ) , or else ( prop_1 ) .",( G ( prop_2 -> prop_3 ) | prop_1 ),G ( prop_2 -> ( prop_3 | prop_1 ) ),False
40/76,"In case that ( prop_1 ) or ( prop_2 ) then all of the following conditions are true : there has to exist sometime in the future before the end of the execution , at which ( prop_3 ) .",G ( ( prop_1 | prop_2 ) -> F prop_3 ),G( (prop_1 | prop_2) -> F(prop_3) ),True
40/77,whenever ( prop_1 ) and at some time ( prop_2 ),F ( prop_1 & F prop_2 ),G ( prop_1 -> F prop_2 ),False
41/78,"It is always the case that in case that the scenario that ( prop_1 ) is observed , then all of the following conditions hold : ( prop_2 ) , or ( prop_3 ) .",G ( prop_1 -> ( prop_2 | prop_3 ) ),G ( prop_1 -> ( prop_2 | prop_3 ) ),True
42/79,( prop_1 ) and ( prop_2 ),( prop_1 & prop_2 ),prop_1 & prop_2,True
42/80,at any time ( prop_1 ) and repeatedly ( prop_2 ),F ( prop_1 & G ( F prop_2 ) ),G (prop_1 & F prop_2),False
43/81,when possible ( prop_1 ) or at some time ( prop_2 ),F ( prop_1 | F prop_2 ),F ( prop_1 | prop_2 ),True
43/82,"It is always the case that everytime when ( prop_2 ) , or the event that ( prop_1 ) occurs then immediately ( prop_3 ) .",G ( ( prop_2 | prop_1 ) -> prop_3 ),G((prop_2 | prop_1) -> X(prop_3)),False
43/83,"In case that the scenario that ( prop_1 ) gets detected , then the following condition holds : at the same time point ( prop_3 ) , and in no time ( prop_2 ) .",G ( prop_1 -> ( prop_3 & prop_2 ) ),G( prop_1 -> ( prop_3 & !F(prop_2) ) ),False
43/84,"While ( prop_3 ) , or ( prop_1 ) , then in response starting without any delay ( prop_2 ) .",G ( ( prop_3 | prop_1 ) -> prop_2 ),((prop_3 | prop_1) -> prop_2),False
43/85,"For each time instant in the coming 3233 to 11687 time units either ( prop_2 ) or ( prop_3 ) should be detected , or else ( prop_1 ) .","( G [3233,11687] ( prop_2 | prop_3 ) | prop_1 )","G[3233,11687] ( prop_2 | prop_3 | prop_1 )",False
44/86,"Globally , when ( prop_3 ) , or ( prop_2 ) , then the following condition is true : ( prop_1 ) .",G ( ( prop_3 | prop_2 ) -> prop_1 ),G((prop_3 | prop_2) -> prop_1),True
44/87,"It is always the case that everytime when the transition action that ( prop_1 ) occurs , or ( prop_2 ) , then the following condition holds : ultimately after a certain moment within the first 75 to 97 time units ( prop_3 ) and then this condition will sustain consecutively for each moment within the subsequent 9 to 59 time units .","G ( ( prop_1 | prop_2 ) -> F [75,97] ( G [9,59] prop_3 ) )","G( (prop_1 | prop_2) -> (F[75,97](prop_3 & G[9,59](prop_3))) )",False
45/88,"Globally , during the interval that ( prop_2 ) or ( prop_3 ) , then all of the following conditions hold : immediately ( prop_1 ) .",G ( ( prop_2 | prop_3 ) -> prop_1 ),G( (prop_2 | prop_3) -> prop_1 ),True
46/89,"It is always the case that while ( prop_3 ) , or ( prop_2 ) , then the following condition holds : at the same time point ( prop_4 ) and ( prop_1 ) .",G ( ( prop_3 | prop_2 ) -> ( prop_4 & prop_1 ) ),G((prop_3 | prop_2) -> (prop_4 & prop_1)),True
46/90,When the event that ( prop_1 ) happens then all of the following conditions are true : ( prop_2 ) or the scenario that ( prop_3 ) ought to be immediately observed .,G ( prop_1 -> ( prop_2 | prop_3 ) ),G ( prop_1 -> ( prop_2 | X prop_3 ) ),False
47/91,"Globally , if ( prop_2 ) or ( prop_1 ) then in response at a time after between 0 to 23 time units , in the future until the simulation ends , uninterruptedly ( prop_3 ) .","G ( ( prop_2 | prop_1 ) -> F [0,23] ( G prop_3 ) )","G( (prop_2 | prop_1) -> F[0,23]( G(prop_3) ) )",True
47/92,"For all time, (prop_2) should be true and at the same time, (prop_1) and (prop_3) should be true .",( G prop_2 & ( prop_1 & prop_3 ) ),G (prop_1 & prop_2 & prop_3),False
48/93,"In case that ( prop_2 ) , and the event that ( prop_1 ) is detected , then all of the following conditions are true : ( prop_3 ) .",G ( ( prop_2 & prop_1 ) -> prop_3 ),G( (prop_2 & prop_1) -> prop_3 ),True
49/94,"In case that the transition action that ( prop_1 ) occurs , then in response simultaneously ( prop_2 ) .",G ( prop_1 -> prop_2 ),G( prop_1 -> prop_2 ),True
50/95,"It is always the case that when ( prop_2 ) and ( prop_1 ) , then the following condition is true : ( prop_3 ) .",G ( ( prop_2 & prop_1 ) -> prop_3 ),G((prop_2 & prop_1) -> prop_3),True
51/96,"Globally , during the interval that ( prop_3 ) and ( prop_1 ) , then all of the following conditions are true : immediately ( prop_2 ) .",G ( ( prop_3 & prop_1 ) -> prop_2 ),G( (prop_3 & prop_1) -> prop_2 ),True
51/97,Everytime when ( prop_3 ) or ( prop_2 ) then all of the following conditions hold : right away the transition action that ( prop_1 ) does n't happen .,G ( ( prop_3 | prop_2 ) -> prop_1 ),G( (prop_3 | prop_2) -> !prop_1 ),False
52/98,"In the event that ( prop_3 ) , and ( prop_2 ) then in response at a certain time instant during the coming 9494 to 15684 time units ( prop_1 ) .","G ( ( prop_3 & prop_2 ) -> F [9494,15684] prop_1 )","G( (prop_3 & prop_2) -> F[9494,15684](prop_1) )",True
52/99,"If (prop_2) and (prop_3) happen at the same time, then (prop_4) should happen and continue until at some point during 120 to 271 time units (prop_1) happens .","( ( prop_2 & prop_3 ) <-> ( prop_4 U [120,271] prop_1 ) )","((prop_2 & prop_3) -> (prop_4 U[120,271] prop_1))",False
53/100,"As soon as ( prop_2 ) and ( prop_1 ) , then there has to be a certain time instant in the future before the end of the execution , at which ( prop_3 ) .",G ( ( prop_2 & prop_1 ) -> F prop_3 ),G((prop_2 & prop_1) -> F(prop_3)),True
