true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
28/71,"Globally , whenever the transition action that ( prop_2 ) is detected then in response ( prop_1 ) and at the same time ( prop_3 ) .",G ( prop_2 -> ( prop_1 & prop_3 ) ),G ( prop_2 -> ( prop_1 & prop_3 ) ),True
28/72,at any time ( prop_1 ) until ( prop_2 ),F ( prop_1 U prop_2 ),(prop_1 U prop_2),False
28/73,"Globally , in case that the transition action that ( prop_3 ) happens then the following condition holds : ( prop_1 ) and this condition keeps consecutively till at sometime during the next 3392 to 6708 time units ( prop_2 ) .","G ( prop_3 -> ( prop_1 U [3392,6708] prop_2 ) )","G( prop_3 -> ( prop_1 U[3392,6708] prop_2 ) )",True
28/74,"Globally , if ( prop_1 ) , and ( prop_4 ) , then the following condition holds : ( prop_2 ) then this condition shall continue consecutively until there will be sometime during the subsequent 0 to 23 time units eventually , at which the event that ( prop_3 ) will take place .","G ( ( prop_1 & prop_4 ) -> ( prop_2 U [0,23] prop_3 ) )","G((prop_1 & prop_4) -> (prop_2 U F[0,23] prop_3))",False
29/75,"Globally , if the event that ( prop_3 ) takes place , and ( prop_4 ) then the following condition holds : ( prop_2 ) and at the same time ( prop_1 ) .",G ( ( prop_3 & prop_4 ) -> ( prop_2 & prop_1 ) ),G((prop_3 & prop_4) -> (prop_2 & prop_1)),True
29/76,when possible ( prop_1 ) or never ( prop_2 ),F ( prop_1 | G ( ! prop_2 ) ),G ( prop_1 | prop_2 ),False
29/77,"Globally , whenever ( prop_3 ) and ( prop_1 ) then in response there must exist a certain time instant within the following 7769 to 11837 time units , at which eventually the event that ( prop_2 ) will have to take place .","G ( ( prop_3 & prop_1 ) -> F [7769,11837] prop_2 )","G( (prop_3 & prop_1) -> F[7769,11837](prop_2) )",True
29/78,"Whenever ( prop_3 ) , or the transition action that ( prop_2 ) is observed , then the following condition holds : ( prop_1 ) .",G ( ( prop_3 | prop_2 ) -> prop_1 ),G((prop_3 | X prop_2) -> prop_1),False
30/79,( prop_1 ) or at some time ( prop_2 ),( prop_1 | F prop_2 ),prop_1 | F prop_2,True
31/80,at any time ( prop_1 ) or at any time ( prop_2 ),F ( prop_1 | F prop_2 ),F(prop_1) | F(prop_2),True
31/81,"If the scenario that ( prop_1 ) gets detected then all of the following conditions are true : there should be sometime in the future before the simulation ends , at which ( prop_3 ) , before ( prop_2 ) .",G ( prop_1 -> ( prop_3 U prop_2 ) ),G( prop_1 -> ( F( prop_3 U prop_2 ) ) ),False
31/82,"It is required that at some point ( prop_2 ) and ( prop_3 ) are detected and this is equivalent to the scenario in which ( prop_4 ) is detected , and this will happen until ( prop_1 ) is detected .",( ( ( prop_2 & prop_3 ) <-> prop_4 ) U prop_1 ),((F (prop_2 & prop_3)) <-> F prop_4) U prop_1,False
31/83,"For all time points in the next 148 to 7231 time units (prop_3) is true, or else both (prop_2) and (prop_1) are true .","( G [148,7231] prop_3 | ( prop_2 & prop_1 ) )","G[148,7231](prop_3 | (prop_2 & prop_1))",True
31/84,"In the case ( prop_3 ) , or ( prop_4 ) , then the following condition holds : there will have to be ultimately a certain moment in the future before the execution ends , at which ( prop_2 ) , till then ( prop_1 ) .",G ( ( prop_3 | prop_4 ) -> ( prop_2 U prop_1 ) ),G( (prop_3 | prop_4) -> (prop_1 U prop_2) ),False
31/85,"In the case ( prop_3 ) , or ( prop_2 ) , then all of the following conditions hold : simultaneously ( prop_4 ) , and the scenario that ( prop_1 ) must take place promptly .",G ( ( prop_3 | prop_2 ) -> ( prop_4 & prop_1 ) ),"G( (prop_3 | prop_2) -> (prop_4 & F[0,1] prop_1) )",False
31/86,"Apart from you keep observing (prop_1), if (prop_2) occurs then you should do (prop_3) .",( G prop_1 & ( prop_2 -> prop_3 ) ),G ( prop_2 -> prop_3 ),False
31/87,when possible ( prop_1 ) or repeatedly ( prop_2 ),F ( prop_1 | G ( F prop_2 ) ),F (prop_1 | G prop_2),False
31/88,"For each time instant in the coming time units if ( prop_3 ) then ( prop_2 ) , or else ( prop_1 ) .",( G ( prop_3 -> prop_2 ) | prop_1 ),G ( prop_3 -> prop_2 ) & G ( !prop_3 -> prop_1 ),False
32/89,"It is always the case that while ( prop_2 ) , and ( prop_3 ) then the following condition is true : ( prop_1 ) .",G ( ( prop_2 & prop_3 ) -> prop_1 ),G((prop_2 & prop_3) -> prop_1),True
33/90,"It is always the case that everytime when ( prop_1 ) then ( prop_2 ) , and ( prop_3 ) .",G ( prop_1 -> ( prop_2 & prop_3 ) ),G ( prop_1 -> ( prop_2 & prop_3 ) ),True
33/91,"When ( prop_3 ) or ( prop_2 ) , then for every moment during the first 0 time units there must exist sometime within the subsequent 77 time units , at which the transition action that ( prop_1 ) has to finally happen .","G ( ( prop_3 | prop_2 ) -> G [0,0] ( F [0,77] prop_1 ) )","G((prop_3 | prop_2) -> F[0,77] prop_1)",False
34/92,"Globally , whenever ( prop_3 ) , then the following condition is true : ( prop_1 ) or ( prop_2 ) .",G ( prop_3 -> ( prop_1 | prop_2 ) ),G ( prop_3 -> ( prop_1 | prop_2 ) ),True
34/93,"If (prop_2) does not happen, then (prop_1) should happen, and then eventually (prop_3) will happen as well .",( ( ! prop_2 -> prop_1 ) -> F prop_3 ),!prop_2 -> (prop_1 & F prop_3),True
34/94,"It is always the case that whenever ( prop_2 ) and the scenario that ( prop_3 ) takes place , then the following condition holds : for every moment within the following 16 to 36 time units ( prop_1 ) .","G ( ( prop_2 & prop_3 ) -> G [16,36] ( F prop_1 ) )","G( (prop_2 & prop_3) -> G[16,36](prop_1) )",False
35/95,On condition that ( prop_1 ) or ( prop_2 ) then the following condition is true : instantly ( prop_3 ) .,G ( ( prop_1 | prop_2 ) -> prop_3 ),G((prop_1 | prop_2) -> prop_3),True
35/96,always ( prop_1 ) or at any time ( prop_2 ),G ( prop_1 | F prop_2 ),(G prop_1) | (F prop_2),False
35/97,"At any point in time, ( prop_2 ) happening is equivalent to either ( prop_1 ) happening or ( prop_3 ) happening.",( G prop_2 <-> ( prop_1 | prop_3 ) ),G ( prop_2 <-> ( prop_1 | prop_3 ) ),True
36/98,"Globally , everytime when ( prop_3 ) , or ( prop_1 ) , then all of the following conditions hold : the transition action that ( prop_2 ) happens starting without any delay and at the same time ( prop_4 ) .",G ( ( prop_3 | prop_1 ) -> ( prop_2 & prop_4 ) ),G( (prop_3 | prop_1) -> (prop_2 & prop_4) ),True
36/99,"As soon as the event that ( prop_3 ) is detected then all of the following conditions are true : in no time ( prop_1 ) , and at the same time point ( prop_2 ) .",G ( prop_3 -> ( prop_1 & prop_2 ) ),G( prop_3 -> ( !prop_1 & prop_2 ) ),False
37/100,"It is always the case that whenever ( prop_1 ) , or ( prop_2 ) then the following condition holds : at the same time point ( prop_3 ) .",G ( ( prop_1 | prop_2 ) -> prop_3 ),G((prop_1 | prop_2) -> prop_3),True
