true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
14/41,"It is always the case that everytime when the event that ( prop_1 ) happens , then all of the following conditions hold : at the same time instant the transition action that ( prop_2 ) ought never to get detected and immediately ( prop_3 ) .",G ( prop_1 -> ( prop_2 & prop_3 ) ),G ( prop_1 -> ( !prop_2 & prop_3 ) ),False
14/42,Guarantee that you (prop_1),F prop_1,G(prop_1),False
14/43,"If (prop_2) or (prop_4) happens at some point, then keep this condition until at some point during 345 to infinity time units (prop_1) and (prop_3) should happen at the same time .","( ( prop_2 | prop_4 ) U [345,infinite] ( prop_1 & prop_3 ) )","((prop_2 | prop_4) -> ((prop_2 | prop_4) U F[345,∞] (prop_1 & prop_3)))",False
15/44,"Globally , everytime when the event that ( prop_1 ) gets observed then all of the following conditions are true : ( prop_3 ) and instantly ( prop_2 ) .",G ( prop_1 -> ( prop_3 & prop_2 ) ),G ( prop_1 -> ( prop_3 & prop_2 ) ),True
16/45,As soon as the event that ( prop_2 ) gets detected and ( prop_1 ) then all of the following conditions are true : starting without any delay ( prop_3 ) and ( prop_4 ) .,G ( ( prop_2 & prop_1 ) -> ( prop_3 & prop_4 ) ),G((prop_2 & prop_1) -> (prop_3 & prop_4)),True
16/46,The scenario in which if (prop_1) then (prop_2) is equivalent to the scenario in which (prop_3) is always true starting from the 499th time step .,"( ( prop_1 -> prop_2 ) <-> G [499,infinite] prop_3 )","((G (prop_1 -> prop_2)) <-> (G[499,∞] prop_3))",False
16/47,forever ( prop_1 ) or at any time ( prop_2 ),G ( prop_1 | F prop_2 ),G(prop_1) | F(prop_2),False
16/48,"Globally , if ( prop_1 ) , then in response ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> F prop_2 ),False
17/49,"Globally , during the interval that ( prop_1 ) , and ( prop_3 ) then all of the following conditions hold : the scenario that ( prop_2 ) should be detected instantly .",G ( ( prop_1 & prop_3 ) -> prop_2 ),G( (prop_1 & prop_3) -> prop_2 ),True
17/50,"Globally , everytime when ( prop_2 ) , and ( prop_3 ) then the following condition holds : there is finally a time during the first 363 to 2439 time units , at which ( prop_1 ) .","G ( ( prop_2 & prop_3 ) -> F [363,2439] ( G prop_1 ) )","G( (prop_2 & prop_3) -> F[363,2439](prop_1) )",False
18/51,"While ( prop_1 ) , or ( prop_2 ) , then all of the following conditions are true : there shall be a certain time point in the future ultimately , at which in the future till the simulation ends , consistently ( prop_3 ) .",G ( ( prop_1 | prop_2 ) -> F ( G prop_3 ) ),G((prop_1 | prop_2) -> F(G(prop_3))),True
18/52,"In the event that ( prop_1 ) and ( prop_2 ) , then all of the following conditions are true : instantly the transition action that ( prop_4 ) has to get detected , or ( prop_3 ) .",G ( ( prop_1 & prop_2 ) -> ( prop_4 | prop_3 ) ),((prop_1 & prop_2) -> (prop_4 | prop_3)),False
19/53,"Globally , in case that ( prop_3 ) and the event that ( prop_1 ) occurs then all of the following conditions hold : without interruption ( prop_2 ) .",G ( ( prop_3 & prop_1 ) -> G prop_2 ),G( (prop_3 & prop_1) -> G(prop_2) ),True
19/54,"( prop_3 ) or ( prop_2 ) should happen at the same time , and at some point during the 4266 to 8731 time units ( prop_1 ) happens .","( ( prop_3 | prop_2 ) & F [4266,8731] prop_1 )","((prop_3 & prop_2) & F[4266,8731](prop_1))",False
20/55,"When ( prop_2 ) or ( prop_3 ) , then the following condition holds : the transition action that ( prop_1 ) will have to be observed at the same time .",G ( ( prop_2 | prop_3 ) -> prop_1 ),G((prop_2 | prop_3) -> prop_1),True
21/56,( prop_1 ) or ( prop_2 ),( prop_1 | prop_2 ),prop_1 | prop_2,True
22/57,"It is always the case that whenever the event that ( prop_1 ) happens then the following condition holds : instantly the event that ( prop_3 ) ought to be observed , and ( prop_2 ) .",G ( prop_1 -> ( prop_3 & prop_2 ) ),G ( prop_1 -> ( prop_3 & prop_2 ) ),True
22/58,"If the transition action that ( prop_1 ) happens , then the following condition holds : in no time ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> !F prop_2 ),False
23/59,"It is always the case that while ( prop_1 ) , then the following condition is true : ( prop_2 ) then this condition needs to keep consistently until ( prop_3 ) .",G ( prop_1 -> ( prop_2 U prop_3 ) ),G( prop_1 -> ( prop_2 U prop_3 ) ),True
24/60,It is always the case that when the transition action that ( prop_1 ) then in response ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
25/61,"As soon as ( prop_1 ) , then in response ( prop_3 ) , and ( prop_2 ) .",G ( prop_1 -> ( prop_3 & prop_2 ) ),G( prop_1 -> ( prop_3 & prop_2 ) ),True
26/62,Everytime when the scenario that ( prop_3 ) is observed then all of the following conditions hold : without any delay ( prop_1 ) and ( prop_2 ) .,G ( prop_3 -> ( prop_1 & prop_2 ) ),G ( prop_3 -> ( prop_1 & prop_2 ) ),True
27/63,"(prop_1) is not the case, or (prop_3) should occur and continue until (prop_2) is detected within the 6066 to 10285 timesteps .","( ! prop_1 | ( prop_3 U [6066,10285] prop_2 ) )","!prop_1 | (prop_3 U[6066,10285] prop_2)",True
27/64,In the case ( prop_2 ) then without interruption ( prop_3 ) till at sometime in the coming 8075 to 17755 time units ( prop_1 ) .,"G ( prop_2 -> ( prop_3 U [8075,17755] prop_1 ) )","(prop_2 -> (prop_3 U[8075,17755] prop_1))",False
27/65,If ( prop_3 ) and the transition action that ( prop_2 ) takes place then the following condition holds: at sometime in the following 576 to 4257 time units ( prop_1 ) and then this scenario will have to consistently keep for every moment within the next 4434 to 12560 time units.,"G ( ( prop_3 & prop_2 ) -> F [576,4257] ( G [4434,12560] prop_1 ) )","G( (prop_3 & prop_2) -> (F[576,4257](prop_1 & G[4434,12560](prop_1))) )",False
28/66,"Globally , when ( prop_2 ) , and ( prop_1 ) then the following condition holds : ( prop_3 ) .",G ( ( prop_2 & prop_1 ) -> prop_3 ),G((prop_2 & prop_1) -> prop_3),True
29/67,"Either for all time after 5623 make sure that (prop_1) or if (prop_2), then (prop_3) .","( G [5623,infinite] prop_1 | ( prop_2 -> prop_3 ) )","G[5623,∞] (prop_1 | (prop_2 -> prop_3))",True
29/68,when possible ( prop_1 ) or whenever ( prop_2 ),F ( prop_1 | F prop_2 ),G ( prop_1 | prop_2 ),False
30/69,"Globally , in case that ( prop_2 ) and ( prop_1 ) , then all of the following conditions are true : after sometime in the future before the end of the execution , ( prop_3 ) and this scenario will be continuing all the time in the future before the simulation ends .",G ( ( prop_2 & prop_1 ) -> F ( G prop_3 ) ),G((prop_2 & prop_1) -> (F(prop_3 & G(prop_3)))),True
30/70,whenever ( prop_1 ) or whenever ( prop_2 ),F ( prop_1 | F prop_2 ),G(prop_1 | prop_2),False
31/71,"Globally , during the interval that ( prop_3 ) or ( prop_1 ) then in response ( prop_2 ) .",G ( ( prop_3 | prop_1 ) -> prop_2 ),G( (prop_3 | prop_1) -> prop_2 ),True
31/72,"If ( prop_2 ) is equivalent to ( prop_4 ) then ( prop_3 ) , and ( prop_1 ) .",( ( ( prop_2 <-> prop_4 ) -> prop_3 ) & prop_1 ),((prop_2 <-> prop_4) -> (prop_3 & prop_1)),False
31/73,when possible ( prop_1 ) or whenever ( prop_2 ),F ( prop_1 | F prop_2 ),G ( prop_1 | prop_2 ),False
32/74,"It is always the case that everytime when ( prop_3 ) or the event that ( prop_1 ) is detected , then ( prop_2 ) .",G ( ( prop_3 | prop_1 ) -> prop_2 ),G((prop_3 | prop_1) -> prop_2),True
33/75,when possible ( prop_1 ) or at any time ( prop_2 ),F ( prop_1 | F prop_2 ),F (prop_1 | prop_2),True
33/76,"Globally , whenever ( prop_4 ) or the event that ( prop_1 ) is detected then all of the following conditions are true : finally there ought to exist a time in the next 1227 to 10623 time units , at which ( prop_2 ) , and before this ( prop_3 ) .","G ( ( prop_4 | prop_1 ) -> ( prop_2 U [1227,10623] prop_3 ) )","G( (prop_4 | prop_1) -> (F[1227,10623](prop_3 U prop_2)) )",False
34/77,"It is always the case that while ( prop_2 ) and ( prop_4 ) , then the following condition holds : ( prop_1 ) and ( prop_3 ) .",G ( ( prop_2 & prop_4 ) -> ( prop_1 & prop_3 ) ),G((prop_2 & prop_4) -> (prop_1 & prop_3)),True
34/78,In the case ( prop_4 ) or ( prop_1 ) then all of the following conditions hold : in no time ( prop_2 ) and ( prop_3 ) .,G ( ( prop_4 | prop_1 ) -> ( prop_2 & prop_3 ) ),G( (prop_4 | prop_1) -> !(F (prop_2 & prop_3)) ),False
34/79,"It is always the case that when the transition action that ( prop_3 ) is detected , then the following condition holds : there should finally exist a certain moment in the future before the execution ends , at which the event that ( prop_2 ) will not be detected , before ( prop_1 ) .",G ( prop_3 -> ( prop_2 U prop_1 ) ),G ( prop_3 -> F ( (!prop_2) U prop_1 ) ),False
35/80,"Globally , during the interval that ( prop_2 ) , and ( prop_3 ) , then all of the following conditions hold : finally the event that ( prop_1 ) has to be detected at a time in the future before the end of the simulation .",G ( ( prop_2 & prop_3 ) -> F prop_1 ),G( (prop_2 & prop_3) -> F(prop_1) ),True
35/81,"Globally , while ( prop_3 ) , and ( prop_1 ) then ( prop_2 ) and then this scenario should hold consecutively for every time point during the first 4378 to 13978 time units .","G ( ( prop_3 & prop_1 ) -> G [4378,13978] prop_2 )","G[4378,13978]((prop_3 & prop_1) -> prop_2)",False
36/82,"Whenever the transition action that ( prop_2 ) gets detected then all of the following conditions are true : ( prop_3 ) and then this condition has to consistently hold until there is a time during the following 0 to 13 time units , at which finally ( prop_1 ) .","G ( prop_2 -> ( prop_3 U [0,13] prop_1 ) )","G( prop_2 -> ( prop_3 U[0,13] prop_1 ) )",True
37/83,Make sure that (prop_3) and (prop_2) are equivalent until at some point during the 239 to 429 time steps when (prop_1) is not true .,"( ( prop_3 <-> prop_2 ) U [239,429] ! prop_1 )","((prop_3 <-> prop_2) U[239,429] !prop_1)",True
37/84,at any time ( prop_1 ) or ( prop_2 ),F ( prop_1 | prop_2 ),G (prop_1 | prop_2),False
38/85,"Either keep (prop_3) until (prop_2) in 66 to 142 time steps, or make sure (prop_1) is equivalent to (prop_4) .","( ( prop_3 U [66,142] prop_2 ) | ( prop_1 <-> prop_4 ) )","((prop_3 U[66,142] prop_2) | (prop_1 <-> prop_4))",True
38/86,"If (prop_3) finally happens 171 time units later, then if (prop_2) happens, make (prop_1) happen as well .","( F [171,infinite] prop_3 -> ( prop_2 -> prop_1 ) )","G( F[171,171](prop_3) -> ( prop_2 -> prop_1 ) )",False
39/87,"In the case ( prop_1 ) , and ( prop_2 ) , then the following condition is true : for every moment in the next 9516 to 16371 time units there must ultimately exist a certain time point in the future before the execution ends , at which ( prop_3 ) .","G ( ( prop_1 & prop_2 ) -> G [9516,16371] ( F prop_3 ) )","G( (prop_1 & prop_2) -> G[9516,16371](F(prop_3)) )",True
39/88,whenever ( prop_1 ) or when possible ( prop_2 ),F ( prop_1 | F prop_2 ),G ( prop_1 | prop_2 ),False
40/89,"It is always the case that while ( prop_2 ) , then in response in no time ( prop_3 ) , or without any delay ( prop_1 ) .",G ( prop_2 -> ( prop_3 | prop_1 ) ),G ( prop_2 -> ( prop_3 | prop_1 ) ),True
40/90,whenever ( prop_1 ) or ( prop_2 ),F ( prop_1 | prop_2 ),G ( prop_1 | prop_2 ),False
41/91,"Globally , when ( prop_3 ) and ( prop_2 ) then all of the following conditions hold : there should be sometime in the future before the end of the execution , at which ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> F prop_1 ),G( (prop_3 & prop_2) -> F(prop_1) ),True
42/92,"If ( prop_1 ) and ( prop_3 ) , then ( prop_2 ) .",G ( ( prop_1 & prop_3 ) -> prop_2 ),G((prop_1 & prop_3) -> prop_2),True
43/93,It is always the case that if ( prop_2 ) and ( prop_3 ) then ( prop_1 ) .,G ( ( prop_2 & prop_3 ) -> prop_1 ),G((prop_2 & prop_3) -> prop_1),True
43/94,( prop_1 ) or when possible ( prop_2 ),( prop_1 | F prop_2 ),(prop_1 | prop_2),False
43/95,(prop_1) and then (prop_2).,( prop_1 -> prop_2 ),(prop_1 -> F prop_2),False
44/96,"As soon as the event that ( prop_3 ) gets detected , then all of the following conditions hold : the scenario that ( prop_1 ) will have to immediately happen , and ( prop_2 ) .",G ( prop_3 -> ( prop_1 & prop_2 ) ),G( prop_3 -> (prop_1 & prop_2) ),True
45/97,when possible ( prop_1 ) or at some time ( prop_2 ),F ( prop_1 | F prop_2 ),F ( prop_1 | prop_2 ),True
46/98,"It is always the case that everytime when the transition action that ( prop_1 ) gets observed , then all of the following conditions hold : ( prop_3 ) and ( prop_2 ) .",G ( prop_1 -> ( prop_3 & prop_2 ) ),G ( prop_1 -> ( prop_3 & prop_2 ) ),True
46/99,"Globally , if ( prop_2 ) and ( prop_3 ) then all of the following conditions are true : in no time ( prop_1 ) .",G ( ( prop_2 & prop_3 ) -> prop_1 ),G((prop_2 & prop_3) -> G(!prop_1)),False
46/100,"In the case ( prop_3 ) , then at a certain time point within 4189 to 4487 time units , ( prop_2 ) , till then the scenario that ( prop_1 ) shall continuously not get observed .","G ( prop_3 -> ( prop_2 U [4189,4487] prop_1 ) )","G( prop_3 -> ( (!prop_1) U[F[4189,4487] prop_2] ) )",False
