true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
12/17,"For each time instant in the next 8091 to 8861 time units if ( prop_3 ) then ( prop_2 ) , and ( prop_1 ) .","( G [8091,8861] ( prop_3 -> prop_2 ) & prop_1 )","G[8091,8861] ( prop_3 -> ( prop_2 & prop_1 ) )",False
13/18,On condition that the transition action that ( prop_2 ) happens then in response the scenario that ( prop_3 ) has to instantly get observed and ( prop_1 ) .,G ( prop_2 -> ( prop_3 & prop_1 ) ),G ( prop_2 -> ( prop_3 & prop_1 ) ),True
14/19,"Globally , whenever the event that ( prop_3 ) is detected , then all of the following conditions are true : at the same time the scenario that ( prop_2 ) ought to get detected or ( prop_1 ) .",G ( prop_3 -> ( prop_2 | prop_1 ) ),G ( prop_3 -> ( prop_2 | prop_1 ) ),True
15/20,"It is always the case that if ( prop_3 ) or ( prop_2 ) then eventually after sometime within the subsequent 20 to 41 time units , ( prop_1 ) and this condition keeps continuously for each moment during the subsequent 28 to 72 time units .","G ( ( prop_3 | prop_2 ) -> F [20,41] ( G [28,72] prop_1 ) )","G( (prop_3 | prop_2) -> F[20,41]( G[28,72](prop_1) ) )",True
16/21,"As soon as ( prop_1 ) , or ( prop_2 ) , then all of the following conditions hold : at the same time ( prop_3 ) .",G ( ( prop_1 | prop_2 ) -> prop_3 ),G((prop_1 | prop_2) -> prop_3),True
17/22,"In the event that ( prop_3 ) or ( prop_1 ) then the following condition holds : finally there will have to exist sometime in the next 1 to 38 time units , at which ( prop_2 ) and this condition shall last in the future till the execution ends .","G ( ( prop_3 | prop_1 ) -> F [1,38] ( G prop_2 ) )","G((prop_3 | prop_1) -> F[1,38](G(prop_2)))",True
17/23,"In the case ( prop_1 ) , and the event that ( prop_2 ) takes place , then starting without any delay ( prop_3 ) .",G ( ( prop_1 & prop_2 ) -> prop_3 ),(prop_1 & prop_2) -> prop_3,False
17/24,"Everytime when ( prop_1 ) then the following condition holds : after a time in the future before the end of the simulation , in the future until the execution ends without interruption ( prop_2 ) .",G ( prop_1 -> F ( G prop_2 ) ),G ( prop_1 -> F ( prop_2 U prop_2 ) ),False
17/25,never ( prop_1 ) until at some time ( prop_2 ),G ( ! prop_1 U F prop_2 ),(!prop_1) U prop_2,False
18/26,"It is always the case that if the scenario that ( prop_3 ) gets detected , then all of the following conditions hold : without any delay ( prop_1 ) or at once the scenario that ( prop_2 ) ought to take place .",G ( prop_3 -> ( prop_1 | prop_2 ) ),G ( prop_3 -> ( prop_1 | prop_2 ) ),True
19/27,"(prop_1) is not the case, and do (prop_3) until (prop_2) is observed within 119 to 551 timesteps .","( ! prop_1 & ( prop_3 U [119,551] prop_2 ) )","!prop_1 & (prop_3 U_[119,551] prop_2)",True
20/28,"Globally , in case that the transition action that ( prop_3 ) happens , then in response promptly ( prop_2 ) , or immediately ( prop_1 ) .",G ( prop_3 -> ( prop_2 | prop_1 ) ),G ( prop_3 -> ( prop_2 | prop_1 ) ),True
20/29,"Globally , if ( prop_2 ) , and the scenario that ( prop_3 ) gets observed then the following condition holds : without any delay the event that ( prop_1 ) must never be detected .",G ( ( prop_2 & prop_3 ) -> prop_1 ),G( (prop_2 & prop_3) -> !prop_1 ),False
20/30,"If either ( prop_4 ) or ( prop_2 ) or ( prop_1 ) is detected, then it is equivalent to have ( prop_3 ) .",( ( ( prop_4 | prop_2 ) | prop_1 ) <-> prop_3 ),G((prop_4 | prop_2 | prop_1) <-> prop_3),False
21/31,It is always the case that whenever ( prop_3 ) and ( prop_2 ) then all of the following conditions are true : ( prop_1 ) .,G ( ( prop_3 & prop_2 ) -> prop_1 ),G((prop_3 & prop_2) -> prop_1),True
22/32,"Globally , everytime when the transition action that ( prop_3 ) takes place then the following condition is true : ( prop_2 ) , or without any delay ( prop_1 ) .",G ( prop_3 -> ( prop_2 | prop_1 ) ),G( prop_3 -> ( prop_2 | prop_1 ) ),True
23/33,In the case ( prop_2 ) or ( prop_1 ) then all of the following conditions are true : at the same time ( prop_3 ) .,G ( ( prop_2 | prop_1 ) -> prop_3 ),G((prop_2 | prop_1) -> prop_3),True
24/34,"While ( prop_3 ) , and ( prop_1 ) , then all of the following conditions are true : the event that ( prop_2 ) must be detected simultaneously .",G ( ( prop_3 & prop_1 ) -> prop_2 ),G((prop_3 & prop_1) -> prop_2),True
24/35,"if at some time ( prop_1 ) , whenever ( prop_2 )",( F prop_1 -> F prop_2 ),G( prop_1 -> G( prop_2 ) ),False
24/36,The scenario in which at some point ( prop_3 ) or ( prop_2 ) then ( prop_4 ) is equivalent to the scenario in which ( prop_1 ) .,( ( ( prop_3 | prop_2 ) -> prop_4 ) <-> prop_1 ),F ( (prop_3 | prop_2) -> prop_4 ) <-> prop_1,False
25/37,"Globally , in case that ( prop_2 ) , then all of the following conditions are true : ( prop_3 ) , and at the same moment ( prop_1 ) .",G ( prop_2 -> ( prop_3 & prop_1 ) ),G ( prop_2 -> ( prop_3 & prop_1 ) ),True
26/38,"When ( prop_3 ) or ( prop_2 ) , then all of the following conditions are true : ( prop_1 ) .",G ( ( prop_3 | prop_2 ) -> prop_1 ),G((prop_3 | prop_2) -> prop_1),True
27/39,On condition that the transition action that ( prop_3 ) is detected and ( prop_2 ) then in response ( prop_1 ) .,G ( ( prop_3 & prop_2 ) -> prop_1 ),G((prop_3 & prop_2) -> prop_1),True
28/40,If ( prop_2 ) and ( prop_1 ) then the following condition is true : instantly ( prop_3 ) .,G ( ( prop_2 & prop_1 ) -> prop_3 ),G((prop_2 & prop_1) -> prop_3),True
29/41,"In case that ( prop_2 ) happens and continues to happen until at some point during the 8198 to 15455 time units ( prop_3 ) is detected , or else ( prop_1 ) .","( ( prop_2 U [8198,15455] prop_3 ) | prop_1 )","((prop_2 U[8198,15455] prop_3) | prop_1)",True
29/42,"As soon as ( prop_3 ) , and the scenario that ( prop_1 ) happens , then in response for each time instant in the future before the simulation ends , finally there shall be a certain moment in the future , at which the transition action that ( prop_2 ) will be detected .",G ( ( prop_3 & prop_1 ) -> G ( F prop_2 ) ),G( (prop_3 & F(prop_1)) -> F(prop_2) ),False
30/43,at some time ( prop_1 ) or when possible ( prop_2 ),F ( prop_1 | F prop_2 ),F(prop_1 | prop_2),True
31/44,"If (prop_2), then (prop_3), or else make (prop_1) happen in the next 253 to 567 time steps .","( ( prop_2 -> prop_3 ) | F [253,567] prop_1 )","(prop_2 -> prop_3) | F[253,567](prop_1)",True
32/45,"Either (prop_2) or (prop_3) should happen, or (prop_1) happens if and only if (prop_4) happens.",( ( prop_2 | prop_3 ) | ( prop_1 <-> prop_4 ) ),(prop_2 | prop_3) | (prop_1 <-> prop_4),True
32/46,"Globally , if the event that ( prop_3 ) gets observed , and ( prop_1 ) then in no time ( prop_2 ) .",G ( ( prop_3 & prop_1 ) -> prop_2 ),G( (prop_3 & prop_1) -> !prop_2 ),False
32/47,"For all time within 91 to 420 timesteps, make sure that (prop_2) is true, or else (prop_3) or (prop_1) .","( G [91,420] prop_2 | ( prop_3 | prop_1 ) )","G[91,420](prop_2 | prop_3 | prop_1)",False
33/48,In case that ( prop_2 ) and ( prop_1 ) then the following condition is true : ( prop_3 ) .,G ( ( prop_2 & prop_1 ) -> prop_3 ),G((prop_2 & prop_1) -> prop_3),True
34/49,"For all time during the next 41 to 139 time steps (prop_1) should be true, or if (prop_3) is true, then (prop_2) should be true as well .","( G [41,139] prop_1 | ( prop_3 -> prop_2 ) )","G[41,139](prop_1 | (prop_3 -> prop_2))",True
35/50,"Globally , whenever ( prop_1 ) , and ( prop_2 ) then all of the following conditions are true : for each time instant in the coming 6 to 13 time units , continuously ( prop_3 ) .","G ( ( prop_1 & prop_2 ) -> G [6,13] prop_3 )","G((prop_1 & prop_2) -> G[6,13](prop_3))",True
35/51,"For each time instant in the coming time units ( prop_3 ) is equivalent to ( prop_2 ) , and also ( prop_1 ) .",( G ( prop_3 <-> prop_2 ) & prop_1 ),G( (prop_3 <-> prop_2) & prop_1 ),False
35/52,"For all time 4854 and beyond, make sure that (prop_3) is always true, or else (prop_2) or (prop_1) is true .","( G [4854,infinite] prop_3 | ( prop_2 | prop_1 ) )","G[4854,∞] (prop_3 | prop_2 | prop_1)",False
35/53,"It is not the case that ( prop_2 ) happens and continues to happen until at some point during the 3850 to 10494 time units that ( prop_3 ) is detected , or else ( prop_1 ) .","( ! ( prop_2 U [3850,10494] prop_3 ) | prop_1 )","!((prop_2 U[3850,10494] prop_3) | prop_1)",False
35/54,"It is always the case that everytime when ( prop_3 ) , and the transition action that ( prop_2 ) occurs , then all of the following conditions hold : for each time instant in the future till the execution ends there is a certain moment in the coming 95 time units , at which eventually ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> G ( F prop_1 ) ),"G( (prop_3 & prop_2) -> G( F[0,95](prop_1) ) )",False
36/55,"It is always the case that if ( prop_1 ) and ( prop_3 ) then all of the following conditions hold : for every time instant within the following 6 to 40 time units at sometime within the subsequent 20 to 21 time units , ( prop_2 ) -RSB- .","G ( ( prop_1 & prop_3 ) -> G [6,40] ( F [20,21] prop_2 ) )","G( (prop_1 & prop_3) -> G[6,40](F[20,21](prop_2)) )",True
37/56,"Globally , when ( prop_2 ) , or ( prop_1 ) , then the following condition holds : at a time during the following 7488 to 12199 time units , for the following 3184 to 9630 time units consecutively ( prop_3 ) .","G ( ( prop_2 | prop_1 ) -> F [7488,12199] ( G [3184,9630] prop_3 ) )","G( (prop_2 | prop_1) -> F[7488,12199](G[3184,9630](prop_3)) )",True
37/57,"It is always the case that in case that the event that ( prop_3 ) takes place , then there shall be a certain moment in the future before the execution ends eventually , at which ( prop_1 ) , and before that continuously ( prop_2 ) .",G ( prop_3 -> ( prop_1 U prop_2 ) ),G ( prop_3 -> ( (!prop_1 & prop_2) U (prop_1 & prop_2) ) ),False
37/58,"Globally , while ( prop_2 ) , and ( prop_1 ) then in response ( prop_3 ) .",G ( ( prop_2 & prop_1 ) -> prop_3 ),G( (prop_2 & prop_1) -> F(prop_3) ),False
38/59,"Globally , everytime when ( prop_3 ) and ( prop_2 ) , then all of the following conditions hold : after sometime during the next 711 to 5323 time units , for each moment in the coming 6500 to 7532 time units ( prop_1 ) .","G ( ( prop_3 & prop_2 ) -> F [711,5323] ( G [6500,7532] prop_1 ) )","G( (prop_3 & prop_2) -> (F[711,5323](G[6500,7532](prop_1))) )",True
38/60,"If at some point ( prop_3 ) or ( prop_4 ) then ( prop_1 ) happens, and ( prop_2 ) .",( ( ( prop_3 | prop_4 ) -> prop_1 ) & prop_2 ),F( (prop_3 | prop_4) -> (prop_1 & prop_2) ),False
39/61,In case that ( prop_3 ) and ( prop_2 ) then the following condition is true : ( prop_1 ) .,G ( ( prop_3 & prop_2 ) -> prop_1 ),G((prop_3 & prop_2) -> prop_1),True
39/62,at any time ( prop_1 ) or ( prop_2 ),F ( prop_1 | prop_2 ),G ( prop_1 | prop_2 ),False
39/63,"It is always the case that if ( prop_2 ) , or ( prop_3 ) then all of the following conditions hold : ( prop_1 ) and consecutively this condition will be remaining within the next 2193 to 7469 time units .","G ( ( prop_2 | prop_3 ) -> G [2193,7469] prop_1 )","G((prop_2 | prop_3) -> (prop_1 & G[2193,7469](prop_1)))",False
39/64,never ( prop_1 ) until whenever ( prop_2 ),G ( ! prop_1 U F prop_2 ),!prop_1 U prop_2,False
39/65,( prop_1 ) or when possible ( prop_2 ),( prop_1 | F prop_2 ),prop_1 | prop_2,False
40/66,"When ( prop_1 ) and ( prop_3 ) , then in response the scenario that ( prop_2 ) needs to get detected starting without any delay .",G ( ( prop_1 & prop_3 ) -> prop_2 ),G((prop_1 & prop_3) -> prop_2),True
40/67,"The scenario in which (prop_4) happens and then (prop_1) , is equivalent to the scenario in which (prop_3) happens and continues until at some point during 2210 to 9288 time units (prop_2) happens .","( ( prop_4 -> prop_1 ) <-> ( prop_3 U [2210,9288] prop_2 ) )","((prop_4 & X prop_1) <-> (prop_3 U[2210,9288] prop_2))",False
40/68,whenever ( prop_1 ) or whenever ( prop_2 ),F ( prop_1 | F prop_2 ),G( prop_1 | prop_2 ),False
41/69,"While ( prop_1 ) , then all of the following conditions are true : ( prop_3 ) then this condition ought to continue till at a certain time instant in the future before the end of the execution ( prop_2 ) .",G ( prop_1 -> ( prop_3 U prop_2 ) ),G( prop_1 -> ( prop_3 U prop_2 ) ),True
41/70,"For all time (prop_2), is equivalent to the scenario that if (prop_1), then (prop_3) .",( G prop_2 <-> ( prop_1 -> prop_3 ) ),G ( prop_2 <-> ( prop_1 -> prop_3 ) ),False
41/71,( prop_1 ) or when possible ( prop_2 ),( prop_1 | F prop_2 ),prop_1 | prop_2,False
42/72,"Globally , if the transition action that ( prop_4 ) takes place or ( prop_1 ) , then in response right away ( prop_2 ) and promptly ( prop_3 ) .",G ( ( prop_4 | prop_1 ) -> ( prop_2 & prop_3 ) ),G((prop_4 | prop_1) -> (prop_2 & prop_3)),True
43/73,"In case that the transition action that ( prop_1 ) gets observed or ( prop_3 ) then all of the following conditions are true : ultimately there needs to be a time after between 54 to 71 time units , at which ( prop_2 ) and this condition will be consistently sustaining for each time point during the coming 55 to 55 time units .","G ( ( prop_1 | prop_3 ) -> F [54,71] ( G [55,55] prop_2 ) )","G((prop_1 | prop_3) -> F[54,71] G[0,55] prop_2)",True
44/74,"It is always the case that in case that the transition action that ( prop_1 ) is observed , then all of the following conditions hold : instantly ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
45/75,"When the event that ( prop_1 ) is observed , then all of the following conditions are true : right away ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
46/76,"In the case the event that ( prop_1 ) occurs , then all of the following conditions are true : ( prop_2 ) and ( prop_3 ) .",G ( prop_1 -> ( prop_2 & prop_3 ) ),G ( prop_1 -> ( prop_2 & prop_3 ) ),True
46/77,"If the event that ( prop_2 ) does not occur , or ( prop_1 ) , then ( prop_3 ) .",G ( ( prop_2 | prop_1 ) -> prop_3 ),((!prop_2) | prop_1) -> prop_3,False
46/78,"If (prop_2), then (prop_3), and (prop_1) should not happen .",( ( prop_2 -> prop_3 ) & ! prop_1 ),(prop_2 -> (prop_3 & !prop_1)),False
47/79,It is not the case that either ( prop_3 ) happens and continues to happen until ( prop_2 ) or else ( prop_1 ) .,! ( ( prop_3 U prop_2 ) | prop_1 ),!((prop_3 U prop_2) | prop_1),True
48/80,"Globally , whenever ( prop_1 ) then all of the following conditions hold : ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
49/81,"In case that the scenario that ( prop_1 ) is detected , then in response without any delay ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
49/82,( prop_1 ) and whenever ( prop_2 ),( prop_1 & F prop_2 ),G ( prop_2 -> prop_1 ),False
50/83,"Globally , everytime when the scenario that ( prop_3 ) is observed then ( prop_1 ) , or at once the transition action that ( prop_2 ) will have to be detected .",G ( prop_3 -> ( prop_1 | prop_2 ) ),G ( prop_3 -> ( prop_1 | prop_2 ) ),True
50/84,"In the case ( prop_1 ) , then in response ultimately at a certain time point in the future before the end of the simulation continuously ( prop_2 ) .",G ( prop_1 -> F ( G prop_2 ) ),G( prop_1 -> F( prop_2 ) ),False
51/85,On condition that ( prop_3 ) and ( prop_2 ) then the following condition holds : ( prop_1 ) and then this scenario will have to sustain without interruption in the future until the execution ends .,G ( ( prop_3 & prop_2 ) -> G prop_1 ),G( (prop_3 & prop_2) -> G(prop_1) ),True
52/86,Everytime when the event that ( prop_1 ) takes place then the following condition is true : ( prop_2 ) .,G ( prop_1 -> prop_2 ),G( prop_1 -> prop_2 ),True
52/87,"It is always the case that (prop_3) happens within 7260 to 16093 time steps, then (prop_2) should happen, which is equivalent to the case that (prop_1) does not happen .","( ( G [7260,16093] prop_3 -> prop_2 ) <-> ! prop_1 )","G((F[7260,16093] prop_3) -> (prop_2 <-> !prop_1))",False
52/88,"( prop_3 ) will not happen until at some point during the 109 to 379 time units ( prop_1 ) is detected , or ( prop_2 ) .","( ( ! prop_3 U [109,379] prop_1 ) | prop_2 )","(!prop_1 U ((F[109,379] prop_1) | prop_2) -> !prop_3)",False
52/89,On condition that ( prop_4 ) and ( prop_1 ) then the following condition is true : the transition action that ( prop_2 ) shall take place starting without any delay or in no time ( prop_3 ) .,G ( ( prop_4 & prop_1 ) -> ( prop_2 | prop_3 ) ),((prop_4 & prop_1) -> (prop_2 U prop_3)),False
52/90,"Globally , everytime when ( prop_1 ) or ( prop_2 ) , then in response right away the event that ( prop_3 ) never takes place .",G ( ( prop_1 | prop_2 ) -> prop_3 ),G( (prop_1 | prop_2) -> !prop_3 ),False
52/91,"Globally , whenever the event that ( prop_2 ) happens , then all of the following conditions are true : at the same time ( prop_3 ) , or immediately ( prop_1 ) .",G ( prop_2 -> ( prop_3 | prop_1 ) ),G ( prop_2 -> ( prop_3 | X prop_1 ) ),False
52/92,"As soon as the scenario that ( prop_2 ) happens , and ( prop_1 ) , then the following condition is true : eventually at sometime in the future before the end of the simulation for each time instant in the following 81 to 94 time units , the event that ( prop_3 ) ought never to get detected .",G ( ( prop_2 & prop_1 ) -> F ( G prop_3 ) ),"G( (prop_2 & prop_1) -> F[81,94](!prop_3) )",False
53/93,As soon as ( prop_2 ) and ( prop_3 ) then all of the following conditions are true : ( prop_1 ) .,G ( ( prop_2 & prop_3 ) -> prop_1 ),G((prop_2 & prop_3) -> prop_1),True
54/94,The scenario in which (prop_1) happens and continues until at some point during the 68 to 239 time units (prop_2) happens should be equivalent to the scenario in which (prop_4) or (prop_3) happens .,"( ( prop_1 U [68,239] prop_2 ) <-> ( prop_4 | prop_3 ) )","((prop_1 U[68,239] prop_2) <-> (prop_4 | prop_3))",True
55/95,It is always the case that in case that ( prop_1 ) then the following condition holds : ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
56/96,In case that the transition action that ( prop_1 ) is detected then all of the following conditions are true : ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
57/97,It is always the case that when ( prop_2 ) or ( prop_1 ) then the following condition is true : ( prop_3 ) .,G ( ( prop_2 | prop_1 ) -> prop_3 ),G((prop_2 | prop_1) -> prop_3),True
57/98,when possible ( prop_1 ) or always ( prop_2 ),F ( prop_1 | G prop_2 ),G (prop_2 | F prop_1),False
58/99,In the case the scenario that ( prop_1 ) happens then all of the following conditions are true : at the same time point ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
58/100,"Ensure that (prop_1) and (prop_3) both happen, and then make (prop_2) happen at some point during 418 to 568 time steps .","( ( prop_1 & prop_3 ) & F [418,568] prop_2 )","((F prop_1) & (F prop_3)) & F[418,568] prop_2",False
