Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
4/11,The flight control software shall ensure that whenever ControlLoopFinish occurs it must be the case that either ControlLoopStart has never occurred before or that before ControlLoopFinish the system has not restarted a new ControlLoopStart after a period when ControlLoopStart was inactive and during that same time the monitoring and transmission of row pitch and yaw data through MonitorRow SendRowData MonitorPitch SendPitchData MonitorYaw and SendYawData have not been interrupted or restarted in a way that overlaps with a new ControlLoopStart. This requirement ensures that each control loop cycle in the aircraft’s automation system completes fully before a new one begins and that all sensor data transmissions remain consistent throughout the loop.,(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (((MonitorRow & SendRowData) & (MonitorPitch & SendPitchData)) & (MonitorYaw & SendYawData))) S ((! (((MonitorRow & SendRowData) & (MonitorPitch & SendPitchData)) & (MonitorYaw & SendYawData))) & (ControlLoopStart & (Z (! ControlLoopStart))))))))))),H( ControlLoopFinish → ( ¬O(ControlLoopStart) ∨ ( (¬ControlLoopStart) S ( ControlLoopStart ∧ H( (MonitorRow ∧ SendRowData ∧ MonitorPitch ∧ SendPitchData ∧ MonitorYaw ∧ SendYawData) ) ) ) ) ),False
5/12,The system shall ensure that whenever SatelliteShadowing or NoReceptionLoS or SignalDiffraction or MultipathEffects occurs the PositioningAccuracy condition shall hold at all times during operation.,(H ((((SatelliteShadowing | NoReceptionLoS) | SignalDiffraction) | MultipathEffects) -> PositioningAccuracy)),H((SatelliteShadowing ∨ NoReceptionLoS ∨ SignalDiffraction ∨ MultipathEffects) → PositioningAccuracy),True
5/13,Requirement:   Once ControlLoopFinish has occurred the flight control computer must ensure that ControlLoopStart has not been active before that point or that the following condition holds. Immediately prior to ControlLoopFinish there must be no instance where ControlLoopStart and a previous period without ControlLoopStart both occur together. In addition the system must guarantee that before ControlLoopFinish there was no continuous interval in which the combination of MonitorRow and SendRowData together with MonitorPitch and SendPitchData and MonitorYaw and SendYawData were all inactive until a moment when ControlLoopStart became active after a period without ControlLoopStart.    In plain engineering terms this means that when the aircraft control loop finishes its cycle the automation must confirm that the loop did not restart unexpectedly and that all monitoring and data sending functions for row pitch and yaw behaved consistently with the expected start and finish of the control loop.,(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (((MonitorRow & SendRowData) & (MonitorPitch & SendPitchData)) & (MonitorYaw & SendYawData))) S ((! (((MonitorRow & SendRowData) & (MonitorPitch & SendPitchData)) & (MonitorYaw & SendYawData))) & (ControlLoopStart & (Z (! ControlLoopStart))))))))))),O(ControlLoopFinish → (¬O(ControlLoopStart) ∨ (Y(¬(ControlLoopStart ∧ (O(¬ControlLoopStart) S true))) ∧ ¬((¬(MonitorRow ∨ SendRowData ∨ MonitorPitch ∨ SendPitchData ∨ MonitorYaw ∨ SendYawData)) S (ControlLoopStart ∧ O(¬ControlLoopStart)))))),False
6/14,The system shall ensure that PositioningAccuracy is maintained at all times whenever SatelliteShadowing or NoReceptionLoS or SignalDiffraction or MultipathEffects occur during drone navigation.,(H ((((SatelliteShadowing | NoReceptionLoS) | SignalDiffraction) | MultipathEffects) -> PositioningAccuracy)),H((SatelliteShadowing ∨ NoReceptionLoS ∨ SignalDiffraction ∨ MultipathEffects) → PositioningAccuracy),True
6/15,Whenever the aircraft exits SimulationMode after previously being in SimulationMode the control system shall ensure that the most recent active control between NucleoOneControl or NucleoTwoControl is properly transitioned to MeasureControlTransition before or during the first period of real operation. This transition requirement shall hold for every occurrence of leaving SimulationMode and must remain valid for all prior operational history. The condition guarantees that whenever SimulationMode changes from active to inactive the system either performs MeasureControlTransition or remains in a consistent SimulationMode state that was preceded by a non‑SimulationMode condition.,((H (((! SimulationMode) & (Y SimulationMode)) -> (Y (((Y ((NucleoOneControl | NucleoTwoControl) & ((Y (! (NucleoOneControl | NucleoTwoControl))) | (SimulationMode & (Z (! SimulationMode)))))) -> (MeasureControlTransition | (SimulationMode & (Z (! SimulationMode))))) S (((Y ((NucleoOneControl | NucleoTwoControl) & ((Y (! (NucleoOneControl | NucleoTwoControl))) | (SimulationMode & (Z (! SimulationMode)))))) -> (MeasureControlTransition | (SimulationMode & (Z (! SimulationMode))))) & (SimulationMode & (Z (! SimulationMode)))))))) & (((! ((! SimulationMode) & (Y SimulationMode))) S ((! ((! SimulationMode) & (Y SimulationMode))) & (SimulationMode & (Z (! SimulationMode))))) -> (((Y ((NucleoOneControl | NucleoTwoControl) & ((Y (! (NucleoOneControl | NucleoTwoControl))) | (SimulationMode & (Z (! SimulationMode)))))) -> (MeasureControlTransition | (SimulationMode & (Z (! SimulationMode))))) S (((Y ((NucleoOneControl | NucleoTwoControl) & ((Y (! (NucleoOneControl | NucleoTwoControl))) | (SimulationMode & (Z (! SimulationMode)))))) -> (MeasureControlTransition | (SimulationMode & (Z (! SimulationMode))))) & (SimulationMode & (Z (! SimulationMode))))))),H((Y SimulationMode ∧ ¬SimulationMode) → (O MeasureControlTransition ∨ O (¬SimulationMode S ¬SimulationMode))),False
6/16,The system shall ensure that ControlLoopFinish has not occurred before the current cycle or that whenever ControlLoopFinish occurs it is immediately preceded by a period during which CollectHardwareExecutionTimes and AssessHardwareTimePerformance were both active and functioning correctly. This requirement ensures that the robot’s control loop only completes after hardware execution times have been collected and their performance assessed.,((H (! ControlLoopFinish)) | (! ((! (CollectHardwareExecutionTimes & AssessHardwareTimePerformance)) S ((! (CollectHardwareExecutionTimes & AssessHardwareTimePerformance)) & (ControlLoopFinish & (Z (! ControlLoopFinish))))))),(H (¬ControlLoopFinish) ∨ H (ControlLoopFinish → O ((CollectHardwareExecutionTimes ∧ AssessHardwareTimePerformance) S Y(ControlLoopFinish)))),False
7/17,The system shall ensure that whenever MonitoringEnabled is active; the functions MonitorBrushlessCurrent; MonitorESCCurrent; and MonitorServoMotorCurrent are all continuously operating for the entire duration of system operation.,(H (MonitoringEnabled -> ((MonitorBrushlessCurrent & MonitorESCCurrent) & MonitorServoMotorCurrent))),H ( MonitoringEnabled → ( MonitorBrushlessCurrent ∧ MonitorESCCurrent ∧ MonitorServoMotorCurrent ) ),True
8/18,At all times when MonitoringEnabled is active the system shall ensure that MonitorCommunicationQuality is performed.,(H (MonitoringEnabled -> MonitorCommunicationQuality)),H (MonitoringEnabled → MonitorCommunicationQuality),True
9/19,At all times during operation; if HILSimulation is active; then UseRealTimeClock shall be enabled.,(H (HILSimulation -> UseRealTimeClock)),H (HILSimulation → UseRealTimeClock),True
9/20,Requirement:   Once ControlLoopFinish has occurred; the system shall ensure that ControlLoopStart has not previously been active; or that the most recent system history shows no instance where ControlLoopStart was active immediately after a period when it was inactive; and that prior to this point the system continuously maintained a state where MonitorAccelerometerData and SendAccelerometerData were not both active until the moment when ControlLoopStart became active following a period of inactivity.    In practical terms; for an autonomous drone flight controller; this means that after the control loop completes its cycle (ControlLoopFinish); the software must confirm that no new control loop was started unexpectedly and that accelerometer monitoring and data transmission were not simultaneously active leading up to the start of a new control loop.,(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorAccelerometerData & SendAccelerometerData)) S ((! (MonitorAccelerometerData & SendAccelerometerData)) & (ControlLoopStart & (Z (! ControlLoopStart))))))))))),H( ControlLoopFinish → ( ¬O(ControlLoopStart) ∨ ¬O( (¬ControlLoopStart) S (Y(ControlLoopStart)) ) ) ∧ H( (¬(MonitorAccelerometerData ∧ SendAccelerometerData)) S ( (¬ControlLoopStart) ∧ Y(ControlLoopStart) ) ) ),False
9/21,Requirement:   Whenever ControlLoopFinish occurs; the system shall ensure that either ControlLoopStart has never occurred before; or that the most recent ControlLoopStart happened only after the last time the internal temperature monitoring and data transmission functions (MonitorInternalTemperature and SendInternalTemperatureData) were both inactive. In other words; each time the control loop finishes; the control loop must not have started earlier than the last period when temperature monitoring and reporting were both turned off.    Example context:   In an autonomous drone; whenever ControlLoopFinish is triggered; the flight controller shall verify that ControlLoopStart did not occur before the last time the drone’s internal temperature monitoring and data transmission subsystems were both inactive. This ensures that each control loop cycle begins only after the temperature monitoring and reporting systems have been properly reset.,(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorInternalTemperature & SendInternalTemperatureData)) S ((! (MonitorInternalTemperature & SendInternalTemperatureData)) & (ControlLoopStart & (Z (! ControlLoopStart))))))))))),H( ControlLoopFinish → ( ¬O(ControlLoopStart) ∨ O( (¬MonitorInternalTemperature ∧ ¬SendInternalTemperatureData) S ControlLoopStart ) ) ),False
9/22,Whenever ControlLoopFinish occurs the system shall ensure that either ControlLoopStart has never occurred before or that the most recent ControlLoopStart happened only after all required battery monitoring and reporting actions were properly completed. Specifically the system shall not allow ControlLoopStart to occur again until MonitorBatteryStatus and SendBatteryStatusData and MonitorBatteryLevel and SendBatteryLevelData and MonitorBatteryVoltage and SendBatteryVoltageData have all been executed as intended. This requirement ensures that each control loop cycle in the autonomous drone completes only after all battery data have been monitored and transmitted before a new control loop begins.,(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (((MonitorBatteryStatus & SendBatteryStatusData) & (MonitorBatteryLevel & SendBatteryLevelData)) & (MonitorBatteryVoltage & SendBatteryVoltageData))) S ((! (((MonitorBatteryStatus & SendBatteryStatusData) & (MonitorBatteryLevel & SendBatteryLevelData)) & (MonitorBatteryVoltage & SendBatteryVoltageData))) & (ControlLoopStart & (Z (! ControlLoopStart))))))))))),H( ControlLoopFinish → ( ¬O(ControlLoopStart) ∨ ( (O(ControlLoopStart)) S (MonitorBatteryStatus ∧ SendBatteryStatusData ∧ MonitorBatteryLevel ∧ SendBatteryLevelData ∧ MonitorBatteryVoltage ∧ SendBatteryVoltageData) ) ) ),False
10/23,The system shall ensure that whenever MonitoringEnabled is active; the functions MonitorBrushlessCurrent; MonitorESCCurrent; and MonitorServoMotorCurrent are all continuously operating for the entire duration of system operation.,(H (MonitoringEnabled -> ((MonitorBrushlessCurrent & MonitorESCCurrent) & MonitorServoMotorCurrent))),H ( MonitoringEnabled → ( MonitorBrushlessCurrent ∧ MonitorESCCurrent ∧ MonitorServoMotorCurrent ) ),True
10/24,Requirement:   The system shall ensure that whenever ControlLoopFinish occurs; one of the following conditions holds true. Either ControlLoopStart has never occurred before; or the most recent system history shows that ControlLoopStart did not happen immediately after a period when it had not yet started; and that prior to ControlLoopFinish the system continuously maintained the condition where MonitorInternalTemperature and SendInternalTemperatureData were both active from the time ControlLoopStart began until ControlLoopFinish occurred.    In other words; for an autonomous drone flight controller; once a control loop finishes; it must be guaranteed that the loop was properly initiated and that internal temperature monitoring and data transmission were continuously active throughout the entire control loop execution.,(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorInternalTemperature & SendInternalTemperatureData)) S ((! (MonitorInternalTemperature & SendInternalTemperatureData)) & (ControlLoopStart & (Z (! ControlLoopStart))))))))))),H( ControlLoopFinish → ( ¬O(ControlLoopStart) ∨ ( O(ControlLoopStart) ∧ ( (MonitorInternalTemperature ∧ SendInternalTemperatureData) S ControlLoopStart ) ) ) ),False
10/25,Requirement:   Once ControlLoopFinish has occurred; the system shall ensure that either ControlLoopStart has never occurred before; or that the previous cycle completed correctly such that ControlLoopStart was not active immediately before and the monitoring and transmission of voltage bus consumption data behaved consistently. Specifically; before each ControlLoopFinish; the system shall verify that MonitorVoltageBusConsumption and SendVoltageBusConsumptionData were properly coordinated from the last ControlLoopStart until the loop finished; ensuring that no unexpected ControlLoopStart occurred during that period.    Example context:   In an autonomous drone flight controller; after each ControlLoopFinish; the control software shall confirm that the previous control loop was properly closed and that voltage bus monitoring and data transmission were performed continuously and without interruption from the last ControlLoopStart until the loop finished.,(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorVoltageBusConsumption & SendVoltageBusConsumptionData)) S ((! (MonitorVoltageBusConsumption & SendVoltageBusConsumptionData)) & (ControlLoopStart & (Z (! ControlLoopStart))))))))))),O(ControlLoopFinish → (¬O(ControlLoopStart) ∨ ((ControlLoopStart S ¬Y(ControlLoopStart)) ∧ H((MonitorVoltageBusConsumption ↔ SendVoltageBusConsumptionData))))),False
10/26,The aircraft control software shall ensure that whenever ControlLoopFinish occurs it must be the case that either ControlLoopStart has never occurred before or that the most recent ControlLoopStart was not immediately preceded by a period in which ControlLoopStart was inactive and during that same period the system did not perform the combined GPS monitoring and data transmission sequence. Specifically the system shall not execute the sequence of MonitorGPSLatitude MonitorGPSLongitude MonitorGPSAltitude MonitorGPSHomePosition and SendGPSData continuously up to the point where ControlLoopStart becomes active again after being inactive. This requirement ensures that the control loop does not restart while GPS monitoring and data transmission are still in progress.,(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! ((((MonitorGPSLatitude & MonitorGPSLongitude) & MonitorGPSAltitude) & MonitorGPSHomePosition) & SendGPSData)) S ((! ((((MonitorGPSLatitude & MonitorGPSLongitude) & MonitorGPSAltitude) & MonitorGPSHomePosition) & SendGPSData)) & (ControlLoopStart & (Z (! ControlLoopStart))))))))))),H( ControlLoopFinish → ( ¬O(ControlLoopStart) ∨ ¬( (¬ControlLoopStart) S ( (MonitorGPSLatitude ∧ MonitorGPSLongitude ∧ MonitorGPSAltitude ∧ MonitorGPSHomePosition ∧ SendGPSData) ∧ Y(ControlLoopStart) ) ) ) ),False
10/27,Requirement:   Once ControlLoopFinish has occurred the flight control system shall ensure that ControlLoopStart has not been active before that point or that the following condition holds. The system shall not begin a new ControlLoopStart immediately after a previous ControlLoopStart has ended. In addition before any new ControlLoopStart the drone shall have continuously monitored MonitorGPSLatitude MonitorGPSLongitude MonitorGPSAltitude and MonitorGPSHomePosition and shall have transmitted SendGPSData without interruption since the last ControlLoopStart ended. This ensures that each new control loop begins only after complete and uninterrupted GPS monitoring and data transmission have been maintained.,(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! ((((MonitorGPSLatitude & MonitorGPSLongitude) & MonitorGPSAltitude) & MonitorGPSHomePosition) & SendGPSData)) S ((! ((((MonitorGPSLatitude & MonitorGPSLongitude) & MonitorGPSAltitude) & MonitorGPSHomePosition) & SendGPSData)) & (ControlLoopStart & (Z (! ControlLoopStart))))))))))),H( ControlLoopStart → ( (¬O(ControlLoopFinish)) ∨ ( (Y(ControlLoopFinish)) S (MonitorGPSLatitude ∧ MonitorGPSLongitude ∧ MonitorGPSAltitude ∧ MonitorGPSHomePosition ∧ SendGPSData) ) ) ),False
10/28,Requirement:   Once ControlLoopFinish has occurred; the system shall ensure that ControlLoopStart has not previously been active; or that the most recent ControlLoopStart occurred only after the last time the barometer monitoring and data transmission functions were both inactive. In this condition; the aircraft control computer shall verify that before each ControlLoopFinish event; the barometer monitoring (MonitorBarometerAltitude) and data transmission (SendBarometerAltitudeData) processes have remained properly coordinated with the start and completion of each control loop cycle.,(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! (MonitorBarometerAltitude & SendBarometerAltitudeData)) S ((! (MonitorBarometerAltitude & SendBarometerAltitudeData)) & (ControlLoopStart & (Z (! ControlLoopStart))))))))))),H( ControlLoopFinish → ( ¬O(ControlLoopStart) ∨ (O(ControlLoopStart ∧ ¬(¬MonitorBarometerAltitude ∧ ¬SendBarometerAltitudeData) S (¬MonitorBarometerAltitude ∧ ¬SendBarometerAltitudeData))) ∧ H((Y(ControlLoopFinish) ∨ ¬O(ControlLoopFinish)) → ((MonitorBarometerAltitude S ControlLoopStart) ∧ (SendBarometerAltitudeData S ControlLoopStart))) ) ),False
